member_casual,start_station,rides
casual,Sedgwick St & Webster Ave,57
casual,Elizabeth St & Fulton St,52
casual,Sedgwick St & Huron St,48
casual,Chicago Ave & Sheridan Rd,48
casual,Clark St & Montrose Ave,43
casual,Lincoln Ave & Melrose St,42
casual,Clinton St & Roosevelt Rd,40
casual,Wood St & Hubbard St,39
casual,Damen Ave & Sunnyside Ave,38
casual,Broadway & Berwyn Ave,38
casual,Lincoln Ave & Sunnyside Ave,37
casual,Lake Park Ave & 35th St,36
casual,Damen Ave & Cortland St,34
casual,Hoyne Ave & Balmoral Ave,32
casual,Orleans St & Chestnut St (NEXT Apts),30
casual,LaSalle St & Jackson Blvd,27
casual,Leavitt St & Lawrence Ave,27
casual,Francisco Ave & Montrose Ave,22
casual,Ashland Ave & Blackhawk St,14
casual,Western Ave & Ardmore Ave,13
casual,Ashland Ave & Lake St,10
casual,Leavitt St & Armitage Ave,9
casual,Western Ave & Leland Ave,8
casual,Broadway & Granville Ave,8
casual,Southport Ave & Irving Park Rd,8
casual,Ogden Ave & Chicago Ave,7
casual,Morgan St & 18th St,7
casual,Museum of Science and Industry,6
casual,Wood St & Milwaukee Ave,6
casual,Racine Ave & Fullerton Ave,6
casual,Sheridan Rd & Loyola Ave,6
casual,Glenwood Ave & Touhy Ave,6
casual,Larrabee St & Armitage Ave,6
casual,California Ave & Fletcher St,6
casual,Public Rack - Lawndale Ave & Diversey Ave,5
casual,Public Rack - Harold Washington Park,5
casual,N Southport Ave & W Newport Ave,5
casual,Clark St & Lunt Ave,5
casual,Cannon Dr & Fullerton Ave,5
casual,Clarendon Ave & Gordon Ter,4
casual,Franklin St & Chicago Ave,4
casual,Ravenswood Ave & Irving Park Rd,3
casual,W Armitage Ave & N Sheffield Ave,3
casual,Damen Ave & Madison St,3
casual,Maplewood Ave & Peterson Ave,3
casual,Lake Park Ave & 53rd St,3
casual,State St & 33rd St,3
member,Kingsbury St & Kinzie St,28826
member,Clinton St & Washington Blvd,27729
member,Clark St & Elm St,24554
member,Clinton St & Madison St,24463
member,Wells St & Concord Ln,20452
member,Wells St & Elm St,20336
member,Clinton St & Jackson Blvd,19855
member,Dearborn St & Erie St,18632
member,Canal St & Madison St,18482
